Месторождение;Скв.;Пласт;Лабораторный №;Кпр, мД;Кп, %;0.001;0.016;0.027;0.047;0.081;0.139;0.238;0.406;0.7;1.2
Чудесное;1;XIX;53;19.6;30.7;100;98.01;96.55;95.13;92.31;86.85;77.27;68.05;60.07;55.47
Чудесное;1;XIX;54;5.5;30.1;100;98.93;98.1;97.5;97.02;94.98;89.44;81.34;74.14;68.89
Чудесное;1;XIX;55;7.2;28.9;100;98.28;97.3;96.1;95.32;93.4;90.27;83.2;76;71.64
Чудесное;1;XIX;56;16.0;31.9;100;98.11;96.66;95.36;91.71;86.18;77.66;70.86;65.39;62.39
Чудесное;1;XIX;57;153;33.4;100;93.81;90.66;83.82;69.86;57.06;47.77;40.3;35.1;32.1
Чудесное;1;XIX;58;188;33.7;100;94.23;91.07;81.61;66.31;54.85;46.5;40.14;35.96;33.4
Чудесное;1;XIX;59;46;33.7;100;97.07;96.2;94.27;90.67;80.63;71.67;65.45;61.02;58.45
Чудесное;1;XIX;60;77;33.4;100;97;94.69;90.62;77.99;67.59;58.95;52.03;46.89;43.89
Чудесное;1;XIX;61;142;33.5;100;97.62;95.75;89.52;76.51;65.47;56;48.32;42.45;38.14
Чудесное;1;XIX;62;100;32.2;100;97.24;94.93;91.29;79.99;67.46;57.69;50.03;44.32;40.82
Чудесное;1;XIX;64;170;33.3;100;92.98;88.99;80.53;67.94;56.5;47.99;42.01;38.23;35.23
Чудесное;1;XIX;65;126;31.4;100;96.18;93.18;86.01;73.58;62.76;54.38;48.59;44.18;41.6
Чудесное;1;XIX;66;454;32.4;100;83.15;74.92;61.96;51.09;43.19;37.22;32.97;30.02;27.86
Чудесное;1;XIX;67;10.6;29.0;100;98.39;97.39;96.06;93.74;89.28;81.36;73.24;67.67;63.83
Чудесное;1;XIX;68;39;31.6;100;97.73;97.17;96.03;92.46;84.36;75.35;68.18;63.21;60.21
Чудесное;1;XIX;69;67;31.8;100;96.51;94.64;90.62;79.37;68.26;60.81;55.05;50.67;47.67
Чудесное;1;XIX;70;3.4;31.8;100;98.66;98.2;97.9;97.2;96.1;92.79;85;78.2;74.1
Чудесное;1;XIX;70;3.4;31.8;100;98.66;98.2;97.9;97.2;96.1;92.79;85;78.2;74.1
Чудесное;1;XIX;72;90;28.3;100;93.51;91.33;86.16;74.07;63.42;53.92;46.16;39.78;35.47
Чудесное;1;XXI;73;88;31.3;100;97.15;95.28;91.27;80.76;68.74;58.41;51.26;46.34;43.34
Чудесное;1;XXI;74;154;32.4;100;95.76;92.15;80.96;68.76;59.36;51.65;46.08;42.01;39.31
Чудесное;1;XXI;75;148;32.2;100;95.82;93;82.1;69.39;60.07;52.68;47.16;43;40.47
Чудесное;1;XXI;77;149;32.6;100;94.61;92.3;81.83;67.85;57.77;49.9;43.86;40.03;37.87
Чудесное;1;XXI;78;98;31.7;100;96.55;93.37;87.4;75.65;64.5;57.32;51.51;47.64;45.06
Чудесное;1;XXI;79;61;33.4;100;97.05;95.18;91.91;81.45;70.48;62.03;55.69;51.52;48.96
Чудесное;1;XXI;80;78;32.3;100;97.93;96.06;91.31;79.9;68.87;59.62;52.97;48.5;45.94
Чудесное;1;XXI;81;20.0;30.9;100;98.24;97.04;95.84;92.84;86.33;78.82;72.87;67.93;64.93
Чудесное;1;XXI;82;0.3;6.0;100;98.57;98.14;97.7;97.26;96.46;95.69;93.64;87.23;83.84
